,N,V,1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,"2. Политическая партия ""Либерально-демократическая партия России""","3. Политическая партия ""ПАТРИОТЫ РОССИИ""","4. Политическая партия ""Коммунистическая партия Российской Федерации""","5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""
Город Санкт-Петербург - Южная,686906,359268,86701,38484,4786,55083,34671,136410,3133
Еврейская автономная область,135580,68761,7428,11086,658,13966,1347,33933,343
Ненецкий автономный округ,35497,19620,2983,3490,253,4939,557,7176,222
Ханты-Мансийский автономный округ - Югра,1082458,583006,82182,133713,7689,95550,16777,243431,3664
Чукотский автономный округ,34224,26237,1462,3044,236,1815,464,19037,179
Ямало-Ненецкий автономный округ,355680,288884,13725,39805,2153,19157,3522,209327,1195
Пермский край,2121805,997099,167272,182416,10719,214312,44220,369944,8216
Камчатский край,257219,134691,13837,25589,3067,23495,5658,62240,805
Забайкальский край,822503,434020,62160,84535,4746,82150,7503,190756,2170
Город Байконур (Республика Казахстан),16543,8461,1036,1363,112,1425,250,4225,50
Территория за пределами РФ,320455,296537,21330,22064,2413,35183,21197,192443,1907
