Scottish Parliament elections 2016 - Results- Constituencies,,,GENERAL,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballots (%),CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,CON,LAB,LIB,SNP,IND,TUSC,GRN,Others,Win,Second
S16000113,Falkirk West,Central," 59,812 "," 32,203 "," 32,083 ", 120 ,53.8,0.4," 5,877 "," 6,980 ", 966 ," 18,260 ", -   , -   , -   , -   ,18.3,21.8,3.0,56.9,0.0,0.0,0.0,0.0,SNP,Lab
S16000114,Galloway & West Dumfries,South Scotand," 56,321 "," 33,458 "," 33,363 ", 95 ,59.4,0.3," 14,527 "," 4,876 ", 947 ," 13,013 ", -   , -   , -   , -   ,43.5,14.6,2.8,39.0,0.0,0.0,0.0,0.0,Con,SNP
S16000115,Glasgow Anniesland,Glasgow," 57,884 "," 29,201 "," 29,016 ", 185 ,50.4,0.6," 4,057 "," 8,854 "," 1,098 "," 15,007 ", -   , -   , -   , -   ,14.0,30.5,3.8,51.7,0.0,0.0,0.0,0.0,SNP,Lab
S16000116,Glasgow Cathcart,Glasgow," 60,871 "," 30,816 "," 30,637 ", 179 ,50.6,0.6," 4,514 "," 6,810 "," 1,703 "," 16,200 ", 501 , 909 , -   , -   ,14.7,22.2,5.6,52.9,1.6,3.0,0.0,0.0,SNP,Lab
S16000117,Glasgow Kelvin,Glasgow," 62,203 "," 28,555 "," 28,442 ", 113 ,45.9,0.4," 3,346 "," 5,968 "," 1,050 "," 10,964 ", 198 , -   ," 6,916 ", -   ,11.8,21.0,3.7,38.6,0.7,0.0,24.3,0.0,SNP,Green
S16000118,Glasgow Maryhill & Springburn,Glasgow," 53,647 "," 23,749 "," 23,612 ", 137 ,44.3,0.6," 2,305 "," 7,507 ", 691 ," 13,109 ", -   , -   , -   , -   ,9.8,31.8,2.9,55.5,0.0,0.0,0.0,0.0,SNP,Lab
S16000119,Glasgow Pollok,Glasgow," 61,350 "," 28,085 "," 27,943 ", 142 ,45.8,0.5," 2,653 "," 8,834 ", 585 ," 15,316 ", -   , 555 , -   , -   ,9.5,31.6,2.1,54.8,0.0,2.0,0.0,0.0,SNP,Lab
S16000120,Glasgow Provan,Glasgow," 56,169 "," 24,248 "," 24,077 ", 171 ,43.2,0.7," 2,062 "," 8,357 ", 518 ," 13,140 ", -   , -   , -   , -   ,8.6,34.7,2.2,54.6,0.0,0.0,0.0,0.0,SNP,Lab
S16000121,Glasgow Shettleston,Glasgow," 58,021 "," 25,506 "," 25,375 ", 131 ,44.0,0.5," 3,151 "," 6,875 ", 568 ," 14,198 ", -   , 583 , -   , -   ,12.4,27.1,2.2,56.0,0.0,2.3,0.0,0.0,SNP,Lab
S16000122,Glasgow Southside,Glasgow," 52,141 "," 25,182 "," 24,903 ", 279 ,48.3,1.1," 3,100 "," 5,694 ", 822 ," 15,287 ", -   , -   , -   , -   ,12.5,22.9,3.3,61.4,0.0,0.0,0.0,0.0,SNP,Lab
