Scottish Parliament elections 2016 - Results- Regional list,,,GENERAL,,,,,,VOTES CAST,,,,,,,,,,,,,,,,,VOTE SHARE %,,,,,,,,,,,,
ONS Code,Constituency,Region,Electorate,Total ballots at the count,Total valid votes cast,Rejected ballots,Ballot Box Turnout (%),Rejected ballot (%),CON,LAB,LIB,SNP,SGRN,UKIP,IND,SOL,RISE,CHP,WEP,SLBR,ABBUP,COMP,NF,ANWP,Others,CON,LAB,LIB,SNP,SGRN,UKIP,IND,Others,,,,,
S16000084,Ayr,South Scotand,"61,567","37,750",37686,64,61.32,0.17,"13,991","5,306",742,"14,938","1,601",639,0,155,195,0,0,0,0,0,0,0,119,37.1,14.1,2.0,39.6,4.3,1.7,0.0,0.3,,,,,
S16000085,Banffshire & Buchan Coast,North East Scotland,"59,155","28,850",28808,42,48.77,0.15,"8,419","2,052",868,"14,809",858,"1,070",0,113,31,429,0,52,0,50,57,0,0,29.2,7.1,3.0,51.4,3.0,3.7,0.0,0.0,,,,,
S16000086,Caithness Sutherland & Ross,Highlands and Islands,"55,176","32,361",32302,59,58.65,0.18,"6,361","3,467","5,499","12,853","1,951","1,005",380,110,182,494,0,0,0,0,0,0,0,19.7,10.7,17.0,39.8,6.0,3.1,1.2,0.0,,,,,
S16000087,"Carrick, Cumnock & Doon Valley",South Scotand,"58,547","31,831",31787,44,54.37,0.14,"7,561","7,701",549,"13,734",982,799,0,207,112,0,0,0,0,0,0,0,142,23.8,24.2,1.7,43.2,3.1,2.5,0.5,0.5,,,,,
S16000088,Clackmannanshire & Dunblane,Mid Scotland and Fife,"50,557","29,853",29803,50,59.05,0.17,"7,363","6,300",979,"12,044","2,298",502,0,91,167,0,0,59,0,0,0,0,0,24.7,21.1,3.3,40.4,7.7,1.7,0.0,0.0,,,,,
S16000089,Clydebank & Milngavie,West Scotland,"54,769","32,990",32940,50,60.23,0.15,"6,536","6,595","2,126","14,216","2,259",511,0,278,173,207,0,39,0,0,0,0,0,19.8,20.0,6.5,43.2,6.9,1.6,0.0,0.0,,,,,
S16000090,Clydesdale,South Scotand,"58,483","33,806",33740,66,57.80,0.20,"9,537","6,772",865,"13,389","1,572",777,0,169,123,0,0,0,0,0,0,0,536,28.3,20.1,2.6,39.7,4.7,2.3,0.0,1.6,,,,,
S16000091,Coatbridge & Chryston,Central Scotland,"53,192","28,413",28379,34,53.42,0.12,"3,201","8,369",353,"13,775","1,347",503,34,394,184,219,0,0,0,0,0,0,0,11.3,29.5,1.2,48.5,4.8,1.8,0.1,0.0,,,,,
S16000092,Cowdenbeath,Mid Scotland and Fife,"54,596","29,876",29819,57,54.72,0.19,"4,601","8,825","1,087","13,050","1,315",631,0,149,92,0,0,69,0,0,0,0,0,15.4,29.6,3.7,43.8,4.4,2.1,0.0,0.0,,,,,
S16000093,Cumbernauld & Kilsyth,Central Scotland,"49,981","28,430",28372,58,56.88,0.20,"3,441","6,683",541,"14,863","1,431",579,51,263,265,255,0,0,0,0,0,0,0,12.1,23.6,1.9,52.4,5.0,2.0,0.2,0.0,,,,,
S16000094,Cunninghame North,West Scotland,"55,645","32,097",32046,51,57.68,0.16,"7,951","5,861",641,"14,703","1,488",656,0,216,219,272,0,39,0,0,0,0,0,24.8,18.3,2.0,45.9,4.6,2.1,0.0,0.0,,,,,
S16000095,Cunninghame South,West Scotland,"50,214","25,839",25800,39,51.46,0.15,"4,105","6,308",417,"12,858",855,628,0,254,168,177,0,30,0,0,0,0,0,15.9,24.5,1.6,49.8,3.3,2.4,0.0,0.0,,,,,
S16000096,Dumbarton,West Scotland,"55,104","33,689",33614,75,61.14,0.22,"7,779","8,433","1,265","13,059","1,683",665,0,263,186,212,0,69,0,0,0,0,0,23.1,25.1,3.8,38.9,5.0,2.0,0.0,0.0,,,,,
S16000097,Dumfriesshire,South Scotand,"60,698","36,373",36291,82,59.92,0.23,"13,451","7,019","1,080","12,212","1,178",990,0,104,131,0,0,0,0,0,0,0,126,37.1,19.3,3.0,33.7,3.3,2.7,0.0,0.4,,,,,
S16000098,Dundee City East,North East Scotland,"55,266","28,566",28503,63,51.69,0.22,"5,095","5,109",691,"15,159","1,475",471,0,152,77,137,0,23,0,50,64,0,0,17.9,17.9,2.4,53.2,5.2,1.7,0.0,0.0,,,,,
S16000099,Dundee City West,North East Scotland,"53,838","27,904",27839,65,51.83,0.23,"3,232","6,055",707,"15,092","1,704",445,0,198,122,137,0,35,0,64,48,0,0,11.6,21.8,2.5,54.2,6.1,1.6,0.0,0.0,,,,,
S16000100,Dunfermline,Mid Scotland and Fife,"57,740","33,020",32989,31,57.19,0.09,"6,597","7,634","2,826","13,223","1,796",598,0,138,117,0,0,60,0,0,0,0,0,20.0,23.1,8.6,40.1,5.4,1.8,0.0,0.0,,,,,
S16000101,East Kilbride,Central Scotland,"61,149","34,767",34709,58,56.86,0.17,"5,755","7,758",681,"16,929","2,127",640,53,399,113,254,0,0,0,0,0,0,0,16.6,22.4,2.0,48.8,6.1,1.8,0.2,0.0,,,,,
S16000102,East Lothian,South Scotand,"60,848","38,027",37980,47,62.50,0.12,"10,570","10,020","1,242","12,729","2,580",590,0,108,70,0,0,0,0,0,0,0,71,27.8,26.4,3.3,33.5,6.8,1.6,0.0,0.2,,,,,
S16000103,Eastwood,West Scotland,"53,085","36,387",36329,58,68.54,0.16,"13,929","7,263",999,"10,680","2,390",458,0,135,129,286,0,60,0,0,0,0,0,38.3,20.0,2.8,29.4,6.6,1.3,0.0,0.0,,,,,
S16000104,Edinburgh Central,Lothian,"59,581","34,234",34166,68,57.46,0.20,"9,946","5,899","2,048","8,962","5,799",395,0,90,284,0,743,0,0,0,0,0,0,29.1,17.3,6.0,26.2,17.0,1.2,0.0,0.0,,,,,
S16000105,Edinburgh Eastern,Lothian,"62,817","35,698",35627,71,56.83,0.20,"5,969","8,615",892,"14,557","4,098",684,0,183,212,0,417,0,0,0,0,0,0,16.8,24.2,2.5,40.9,11.5,1.9,0.0,0.0,,,,,
S16000106,Edinburgh Northern & Leith,Lothian,"67,273","37,287",37214,73,55.43,0.20,"6,623","7,364","1,349","13,495","6,744",568,0,120,293,0,658,0,0,0,0,0,0,17.8,19.8,3.6,36.3,18.1,1.5,0.0,0.0,,,,,
S16000107,Edinburgh Pentlands,Lothian,"55,241","33,516",33449,67,60.67,0.20,"10,796","6,251","1,252","11,690","2,339",591,0,93,126,0,311,0,0,0,0,0,0,32.3,18.7,3.7,35.0,7.0,1.8,0.0,0.0,,,,,
