ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf,Emergency proxies issued,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both) ,Ballot paper not returned,Postal voting statement unreturned,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,
E05001442,Leeds,Weetwood,"15,584","6,167",39.6,"6,152",39.5,"6,324",40.6,5,2,,8,,15,2984,2,12,2998,,2254,9,,2,12,,5,716,2998,2136,11,28,2097,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05001443,Leeds,Wetherby,"15,668","6,013",38.4,"5,993",38.3,"6,151",39.3,,1,,19,,20,2883,3,8,2894,,2092,10,2,1,8,,11,770,2894,1979,5,20,1954,25,,,,,,,,,,,,,,,,,,,,,,,,,
E05000886,Liverpool,Allerton & Hunts Cross,"11,285","3,921",34.7,"3,895",34.5,"3,948",35.0,0,2,0,24,0,26,1929,3,0,1932,3,1285,8,0,3,0,0,5,631,1932,1285,15,5,1258,25,212,20,136,5,144,03/05/2014,06/05/2014,1808,14,yes,248,88,284,32,226,14,44,89,Xpress,Xpress,191,,,,
E05000887,Liverpool,Anfield,"9,229","2,508",27.2,"2,483",26.9,"2,541",27.5,0,0,0,25,0,25,1119,0,0,1119,1,769,2,0,0,0,0,5,343,1119,769,17,6,736,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05000888,Liverpool,Belle Vale,"11,237","3,456",30.8,"3,435",30.6,"3,488",31.0,0,0,0,21,0,21,1842,2,0,1844,10,1265,6,0,2,0,0,7,564,1844,1265,18,9,1233,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000889,Liverpool,Central,"13,905","1,927",13.9,"1,914",13.8,"1,939",13.9,0,4,0,9,0,13,665,2,0,667,0,424,2,0,2,0,0,4,235,667,424,6,4,412,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05000890,Liverpool,Childwall,"11,093","3,907",35.2,"3,891",35.1,"3,930",35.4,0,8,0,8,0,16,1720,2,0,1722,5,1175,10,1,1,0,0,5,530,1722,1175,13,10,1152,29,,,,,,,,,,,,,,,,,,,,,,,,,
E05000891,Liverpool,Church,"10,796","4,735",43.9,"4,709",43.6,"4,771",44.2,0,2,0,24,0,26,1812,1,0,1813,1,1310,4,0,1,0,0,2,496,1813,1310,17,12,1274,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000892,Liverpool,Clubmoor,"11,162","3,221",28.9,"3,209",28.7,"3,259",29.2,0,0,0,12,0,12,1499,0,0,1499,2,1062,5,0,0,0,0,6,426,1499,1062,27,9,1024,38,,,,,,,,,,,,,,,,,,,,,,,,,
E05000893,Liverpool,County,"9,625","2,798",29.1,"2,789",29.0,"2,828",29.4,0,2,0,7,0,9,1358,1,0,1359,1,956,5,0,1,0,0,7,390,1359,956,12,7,926,23,,,,,,,,,,,,,,,,,,,,,,,,,
E05000894,Liverpool,Cressington,"11,645","4,347",37.3,"4,333",37.2,"4,378",37.6,0,0,0,14,0,14,1787,2,0,1789,3,1214,8,2,0,0,0,4,561,1789,1214,11,11,1183,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000895,Liverpool,Croxteth,"10,489","2,860",27.3,"2,845",27.1,"2,891",27.6,0,2,0,13,0,15,1550,0,0,1550,4,1022,1,0,0,0,0,8,519,1550,1022,20,8,991,32,,,,,,,,,,,,,,,,,,,,,,,,,
E05000896,Liverpool,Everton,"10,198","2,976",29.2,"2,959",29.0,"3,038",29.8,0,2,0,15,0,17,1679,1,0,1680,1,1239,7,1,0,0,0,5,428,1680,1239,32,14,1177,51,,,,,,,,,,,,,,,,,,,,,,,,,
E05000897,Liverpool,Fazakerley,"11,110","3,115",28.0,"3,099",27.9,"3,132",28.2,0,3,0,13,0,16,1543,2,0,1545,5,1006,5,2,0,0,0,3,529,1545,1006,12,4,989,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05000898,Liverpool,Greenbank,"10,360","3,554",34.3,"3,541",34.2,"3,575",34.5,0,7,0,6,0,13,853,4,0,857,3,577,7,0,4,0,0,9,260,857,577,16,4,556,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05000899,Liverpool,Kensington & Fairfield,"8,942","2,719",30.4,"2,703",30.2,"2,765",30.9,0,1,0,15,0,16,1297,4,0,1301,4,931,2,0,4,0,0,11,353,1301,931,33,11,885,48,,,,,,,,,,,,,,,,,,,,,,,,,
E05000900,Liverpool,Kirkdale,"11,767","2,954",25.1,"2,926",24.9,"3,007",25.6,0,2,0,26,0,28,1524,0,0,1524,5,1050,8,0,0,0,0,3,463,1524,1050,25,15,997,44,,,,,,,,,,,,,,,,,,,,,,,,,
E05000901,Liverpool,Knotty Ash,"10,107","3,210",31.8,"3,191",31.6,"3,270",32.4,0,0,0,19,0,19,2250,2,0,2251,6,1445,5,1,1,0,0,8,792,2252,1445,30,20,1385,58,,,,,,,,,,,,,,,,,,,,,,,,,
E05000902,Liverpool,Mossley Hill,"10,301","3,960",38.4,"3,926",38.1,"3,987",38.7,0,0,0,34,0,34,1521,1,0,1522,1,1047,8,0,1,0,0,4,462,1522,1047,11,8,1020,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05000903,Liverpool,Norris Green,"10,676","2,985",28.0,"2,956",27.7,"3,024",28.3,0,3,0,26,0,29,1620,0,0,1620,2,1142,4,0,0,0,0,4,470,1620,1142,18,11,1103,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05000904,Liverpool,Old Swan,"11,161","3,488",31.3,"3,471",31.1,"3,518",31.5,0,3,0,14,0,17,1761,2,0,1763,3,1205,5,2,0,0,0,5,546,1763,1205,16,8,1175,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000905,Liverpool,Picton,"10,249","2,737",26.7,"2,724",26.6,"2,776",27.1,0,0,0,13,0,13,1163,6,0,1169,1,755,4,2,4,0,0,12,392,1169,755,28,10,716,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05000906,Liverpool,Princes Park,"9,274","2,841",30.6,"2,817",30.4,"2,871",31.0,0,5,0,19,0,24,1229,1,0,1230,1,805,5,0,1,0,0,9,410,1230,805,22,5,775,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05000907,Liverpool,Riverside,"11,855","3,098",26.1,"3,087",26.0,"3,154",26.6,0,3,0,8,0,11,1515,0,0,1515,2,995,3,0,0,0,0,4,513,1515,995,39,10,939,54,,,,,,,,,,,,,,,,,,,,,,,,,
E05000909,Liverpool,Speke-Garston,"13,078","3,429",26.2,"3,391",25.9,"3,469",26.5,0,1,0,37,0,38,1719,2,0,1721,2,1159,7,2,0,0,0,3,550,1721,1159,17,7,1119,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000908,Liverpool,St. Michaels,"9,554","3,557",37.2,"3,544",37.1,"3,583",37.5,0,1,0,12,0,13,1237,2,0,1239,4,842,3,0,2,0,0,7,385,1239,842,17,7,816,26,,,,,,,,,,,,,,,,,,,,,,,,,
E05000910,Liverpool,Tuebrook & Stoneycroft,"10,264","3,137",30.6,"3,121",30.4,"3,177",31.0,0,7,0,9,0,16,1405,1,0,1406,1,971,4,0,1,0,0,5,425,1406,971,16,11,931,30,,,,,,,,,,,,,,,,,,,,,,,,,
E05000911,Liverpool,Warbreck,"11,230","3,330",29.7,"3,304",29.4,"3,352",29.8,0,10,0,16,0,26,1639,0,0,1639,4,1131,6,0,0,0,0,5,497,1639,1131,25,8,1109,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05000912,Liverpool,Wavertree,"10,252","3,499",34.1,"3,484",34.0,"3,539",34.5,0,5,0,10,0,15,1685,3,0,1688,1,1125,3,0,3,0,0,8,549,1688,1125,17,8,1085,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05000913,Liverpool,West Derby,"11,056","3,599",32.6,"3,586",32.4,"3,644",33.0,0,3,0,10,0,13,1931,2,0,1933,1,1311,1,0,2,0,0,2,617,1933,1311,32,9,1266,43,,,,,,,,,,,,,,,,,,,,,,,,,
E05000914,Liverpool,Woolton,"10,513","4,117",39.2,"4,092",38.9,"4,161",39.6,0,2,0,23,0,25,2271,1,0,2272,6,1604,5,0,1,0,0,3,659,2272,1604,24,11,1560,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05000915,Liverpool,Yew Tree,"11,639","3,326",28.6,"3,301",28.4,"3,381",29.0,0,1,0,24,0,25,2319,1,0,2320,4,1610,11,0,1,0,0,4,694,2320,1610,34,10,1555,49,,,,,,,,,,,,,,,,,,,,,,,,,
E05000687,Manchester,Ancoats & Clayton,"13,615","3,453",25.4,"3,435",25.2,"3,517",25.8,0,5,0,13,0,18,1887,10,0,1897,12,1166,14,0,0,12,0,8,697,1897,1166,13,44,1102,64,96,12,227,3,304,02/05/2014,02/05/2014,2220,32,Yes,75,93,288,763,389,116,29,27,Idox,Idox,225,,,,
E05000688,Manchester,Ardwick,"13,438","3,021",22.5,"2,988",22.2,"3,077",22.9,0,6,0,27,0,33,1430,5,0,1435,5,996,25,0,0,19,0,12,383,1435,996,12,40,940,56,,,,,,,,,,,,,,,,,,,,,,,,,
E05000689,Manchester,Baguley,"11,284","2,649",23.5,"2,635",23.4,"2,708",24.0,0,2,0,12,0,14,1989,0,0,1989,2,1307,7,0,0,13,0,24,638,1989,1307,18,37,1248,59,,,,,,,,,,,,,,,,,,,,,,,,,
E05000690,Manchester,Bradford,"12,324","3,170",25.7,"3,131",25.4,"3,232",26.2,,2,,37,,39,1921,4,0,1925,5,1233,15,1,2,19,0,12,643,1925,1233,17,37,1171,62,,,,,,,,,,,,,,,,,,,,,,,,,
E05000691,Manchester,Brooklands,"10,863","2,975",27.4,"2,965",27.3,"3,036",27.9,0,0,1,9,0,10,2254,7,0,2261,7,1428,14,0,0,2,0,15,802,2261,1428,20,37,1367,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05000692,Manchester,BURNAGE,"11,089","3,744",33.8,"3,693",33.3,"3,808",34.3,0,2,0,49,0,51,1985,4,0,1989,11,1334,11,0,0,11,0,8,625,1989,1334,13,38,1270,64,,,,,,,,,,,,,,,,,,,,,,,,,
E05000693,Manchester,Charlestown,"10,507","3,200",30.5,"3,186",30.3,"3,260",31.0,0,2,0,12,0,14,1823,2,0,1825,10,1246,9,0,0,10,0,8,552,1825,1246,16,35,1186,60,,,,,,,,,,,,,,,,,,,,,,,,,
E05000694,Manchester,Cheetham,"15,563","4,748",30.5,"4,690",30.1,"4,902",31.5,0,0,0,58,0,58,2691,1,0,2692,22,1792,31,0,0,23,0,16,830,2692,1792,17,108,1638,154,,,,,,,,,,,,,,,,,,,,,,,,,
E05000695,Manchester,Chorlton,"11,052","4,895",44.3,"4,865",44.0,"4,941",44.7,0,2,0,28,0,30,1688,2,0,1690,3,1153,11,0,0,3,0,7,516,1690,1153,13,22,1107,46,,,,,,,,,,,,,,,,,,,,,,,,,
E05000696,Manchester,Chorlton Park,"11,800","4,619",39.1,"4,586",38.9,"4,680",39.7,0,7,0,26,0,33,2054,6,0,2060,12,1365,15,0,2,8,0,8,662,2060,1365,17,39,1304,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05000697,Manchester,City Centre,"13,863","2,390",17.2,"2,371",17.1,"2,432",17.5,11,2,0,6,0,19,1178,6,0,1184,21,687,10,1,1,16,0,10,459,1184,687,11,12,645,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05000698,Manchester,Crumpsall,"11,621","3,814",32.8,"3,784",32.6,"3,856",33.2,15,9,1,5,0,30,1947,7,0,1954,7,1290,16,1,2,7,0,10,628,1954,1290,15,25,1248,42,,,,,,,,,,,,,,,,,,,,,,,,,
E05000699,Manchester,Didsbury East,"10,973","4,571",41.7,"4,558",41.5,"4,624",42.1,0,0,0,13,0,13,2009,10,0,2019,20,1438,14,1,1,12,0,12,541,2019,1438,17,31,1385,53,,,,,,,,,,,,,,,,,,,,,,,,,
E05000700,Manchester,Didsbury West,"10,722","3,767",35.1,"3,741",34.9,"3,806",35.5,26,0,0,0,0,26,1842,3,0,1845,18,1201,6,0,2,16,0,13,607,1845,1201,3,23,1162,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05000701,Manchester,Fallowfield,"11,667","3,572",30.6,"3,543",30.4,"3,644",31.2,22,3,0,4,0,29,1277,0,0,1277,6,899,17,0,0,6,0,7,348,1277,899,14,43,827,72,,,,,,,,,,,,,,,,,,,,,,,,,
E05000702,Manchester,Gorton North,"11,710","3,299",28.2,"3,247",27.7,"3,370",28.8,42,5,0,5,0,52,1835,2,0,1837,20,1223,3,2,0,22,0,18,569,1837,1223,18,36,1152,71,,,,,,,,,,,,,,,,,,,,,,,,,
E05000703,Manchester,Gorton South,"13,375","4,245",31.7,"4,216",31.5,"4,321",32.3,12,10,1,6,0,29,2056,1,0,2057,17,1403,13,0,0,16,0,15,610,2057,1403,21,45,1327,76,,,,,,,,,,,,,,,,,,,,,,,,,
E05000704,Manchester,Harpurhey,"12,808","3,240",25.3,"3,171",24.8,"3,298",25.7,0,20,0,49,0,69,1860,4,0,1864,21,1270,12,0,0,17,0,7,558,1864,1270,8,37,1212,58,,,,,,,,,,,,,,,,,,,,,,,,,
E05000705,Manchester,Higher Blackley,"10,841","3,190",29.4,"3,172",29.3,"3,258",30.1,14,1,0,3,0,18,1826,5,0,1831,90,1289,11,0,2,86,0,10,433,1831,1289,17,38,1221,68,,,,,,,,,,,,,,,,,,,,,,,,,
E05000706,Manchester,Hulme,"13,112","3,017",23.0,"3,000",22.9,"3,071",23.4,0,3,0,14,0,17,1429,1,0,1430,10,944,22,0,0,10,0,7,447,1430,944,14,32,890,54,,,,,,,,,,,,,,,,,,,,,,,,,
E05000707,Manchester,Levenshulme,"11,295","4,336",38.4,"4,301",38.1,"4,422",39.2,0,5,0,30,0,35,1420,5,0,1425,16,1045,11,0,1,13,0,6,349,1425,1045,20,50,959,86,,,,,,,,,,,,,,,,,,,,,,,,,
E05000708,Manchester,Longsight,"11,412","4,119",36.1,"4,081",35.8,"4,216",36.9,0,3,0,35,0,38,1713,2,0,1715,8,1202,15,0,0,5,0,8,485,1715,1202,18,72,1105,97,,,,,,,,,,,,,,,,,,,,,,,,,
E05000709,Manchester,Miles Platting & Newton Heath,"10,959","2,830",25.8,"2,799",25.5,"2,913",26.6,22,2,0,7,0,31,1831,0,0,1831,12,1218,11,0,0,11,0,6,585,1831,1218,24,39,1135,83,,,,,,,,,,,,,,,,,,,,,,,,,
E05000710,Manchester,Moss Side,"13,752","4,317",31.4,"4,275",31.1,"4,453",32.4,0,15,0,27,0,42,2039,3,0,2042,31,1381,24,0,3,27,0,19,588,2042,1381,30,91,1245,136,,,,,,,,,,,,,,,,,,,,,,,,,
E05000711,Manchester,Moston,"11,619","3,646",31.4,"3,626",31.2,"3,714",32.0,0,5,0,15,0,20,2057,2,0,2059,9,1405,6,0,0,6,0,8,634,2059,1405,21,44,1337,68,,,,,,,,,,,,,,,,,,,,,,,,,
E05000712,Manchester,Northenden,"11,492","3,221",28.0,"3,178",27.7,"3,307",28.8,0,0,0,43,0,43,2178,3,0,2181,24,1447,15,0,0,21,0,6,692,2181,1447,13,52,1361,86,,,,,,,,,,,,,,,,,,,,,,,,,
E05000713,Manchester,Old Moat,"11,573","3,421",29.6,"3,381",29.2,"3,467",30.0,0,9,0,31,0,40,1350,5,0,1355,17,892,6,0,0,9,0,7,441,1355,892,12,28,846,46,,,,,,,,,,,,,,,,,,,,,,,,,
E05000714,Manchester,Rusholme,"10,939","3,530",32.3,"3,497",32.0,"3,591",32.8,0,6,0,27,0,33,1237,1,0,1238,11,907,13,0,1,11,0,0,306,1238,907,10,37,846,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05000715,Manchester,Sharston,"12,039","2,805",23.3,"2,784",23.1,"2,869",23.8,0,1,1,19,0,21,2143,8,0,2151,28,1395,12,0,0,20,0,7,717,2151,1395,13,38,1331,64,,,,,,,,,,,,,,,,,,,,,,,,,
E05000716,Manchester,Whalley Range,"11,801","4,653",39.4,"4,601",39.0,"4,729",40.1,0,0,0,52,0,52,1778,0,0,1778,11,1209,7,0,0,11,0,6,545,1778,1209,14,48,1133,76,,,,,,,,,,,,,,,,,,,,,,,,,
E05000717,Manchester,Withington,"11,290","3,425",30.3,"3,401",30.1,"3,468",30.7,15,0,1,8,0,24,1182,6,0,1188,7,839,4,0,4,5,0,7,329,1188,839,10,17,796,43,,,,,,,,,,,,,,,,,,,,,,,,,
E05000718,Manchester,Woodhouse Park,"10,587","2,420",22.9,"2,405",22.7,"2,485",23.5,0,0,0,15,0,15,1889,1,0,1890,27,1247,16,0,0,26,0,10,591,1890,1247,13,32,1182,65,,,,,,,,,,,,,,,,,,,,,,,,,
E05001089,Newcastle Upon Tyne,Benwell & Scotswood,"8,695","2,804",32.2,"2,797",32.2,"2,863",32.9,,3,,4,,7,2810,3,,2813,9,1865,7,1,2,,,15,923,2813,1865,25,34,1806,59,526,1767,159,35,123,10/05/2014,12/05/2014,1367,11,yes,147,200,155,66,284,135,8,131,Xpress,Xpress,127,,,,
E05001090,Newcastle Upon Tyne,Blakelaw,"8,210","2,722",33.2,"2,690",32.8,"2,777",33.8,,2,,30,,32,2378,2,,2380,6,1607,19,,2,,,10,742,2380,1607,25,30,1552,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05001091,Newcastle Upon Tyne,Byker,"7,921","2,198",27.7,"2,190",27.6,"2,231",28.2,,,1,7,,8,1881,,,1881,4,1301,8,,,,,9,563,1881,1301,16,17,1268,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001092,Newcastle Upon Tyne,Castle,"8,362","3,356",40.1,"3,352",40.1,"3,395",40.6,3,,,1,,4,2553,1,,2554,9,1724,8,,1,,,7,814,2554,1724,18,21,1685,39,,,,,,,,,,,,,,,,,,,,,,,,,
E05001093,Newcastle Upon Tyne,Dene,"7,438","3,023",40.6,"2,997",40.3,"3,056",41.1,10,1,,15,,26,2427,1,,2428,2,1605,10,,1,,,4,808,2428,1605,15,16,1572,33,,,,,,,,,,,,,,,,,,,,,,,,,
E05001094,Newcastle Upon Tyne,Denton,"7,687","2,722",35.4,"2,712",35.3,"2,759",35.9,,,,10,,10,2960,1,,2961,9,1947,12,,1,,,5,996,2961,1947,20,17,1910,37,,,,,,,,,,,,,,,,,,,,,,,,,
E05001095,Newcastle Upon Tyne,East Gosforth,"7,128","3,190",44.8,"3,182",44.6,"3,226",45.3,1,2,,5,,8,2136,3,,2139,7,1471,6,,3,,,7,652,2139,1471,25,10,1435,35,,,,,,,,,,,,,,,,,,,,,,,,,
E05001096,Newcastle Upon Tyne,Elswick,"7,689","2,242",29.2,"2,232",29.0,"2,261",29.4,9,1,,,,10,1767,3,,1770,5,1147,14,,3,,,9,597,1770,1147,8,11,1128,19,,,,,,,,,,,,,,,,,,,,,,,,,
E05001097,Newcastle Upon Tyne,Fawdon,"7,404","2,844",38.4,"2,829",38.2,"2,884",39.0,8,2,,5,,15,2188,1,,2189,4,1618,9,1,,,,13,548,2189,1618,18,22,1578,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05001098,Newcastle Upon Tyne,Fenham,"8,031","2,799",34.9,"2,787",34.7,"2,815",35.1,,2,,10,,12,2409,,,2409,6,1644,16,,,,,9,740,2409,1644,1,15,1628,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05001099,Newcastle Upon Tyne,Kenton,"8,106","2,553",31.5,"2,513",31.0,"2,600",32.1,,6,,34,,40,2363,3,,2366,11,1530,21,,3,,,6,806,2366,1530,26,21,1483,47,,,,,,,,,,,,,,,,,,,,,,,,,
E05001100,Newcastle Upon Tyne,Lemington,"7,327","2,404",32.8,"2,398",32.7,"2,463",33.6,,,,6,,6,2397,1,,2398,6,1593,4,,1,,,9,791,2398,1593,22,37,1534,59,,,,,,,,,,,,,,,,,,,,,,,,,
E05001101,Newcastle Upon Tyne,Newburn,"7,133","2,496",35.0,"2,484",34.8,"2,511",35.2,,1,,11,,12,2445,3,,2448,7,1579,12,,3,,,5,849,2448,1579,2,13,1564,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001102,Newcastle Upon Tyne,North Heaton,"7,447","3,336",44.8,"3,323",44.6,"3,367",45.2,,2,,11,,13,2141,1,,2142,2,1559,1,,1,,,6,575,2142,1559,25,6,1528,31,,,,,,,,,,,,,,,,,,,,,,,,,
E05001103,Newcastle Upon Tyne,North Jesmond,"6,886","1,914",27.8,"1,907",27.7,"1,958",28.4,,2,,5,,7,923,4,,927,7,680,2,,4,,,,241,927,680,42,2,636,44,,,,,,,,,,,,,,,,,,,,,,,,,
E05001104,Newcastle Upon Tyne,Ouseburn,"10,357","2,169",20.9,"2,157",20.8,"2,216",21.4,2,1,,9,,12,1108,4,,1112,9,804,1,,4,,,2,301,1112,804,31,16,757,47,,,,,,,,,,,,,,,,,,,,,,,,,
E05001105,Newcastle Upon Tyne,Parklands,"7,971","3,274",41.1,"3,262",40.9,"3,329",41.8,,2,,10,,12,2599,2,,2601,9,1750,7,,2,,,11,831,2601,1750,36,19,1695,55,,,,,,,,,,,,,,,,,,,,,,,,,
E05001106,Newcastle Upon Tyne,South Heaton,"6,887","2,106",30.6,"2,098",30.5,"2,134",31.0,,1,1,6,,8,1001,,,1001,1,673,1,,,,,8,319,1001,673,15,13,645,28,,,,,,,,,,,,,,,,,,,,,,,,,
E05001107,Newcastle Upon Tyne,South Jesmond,"7,754","1,833",23.6,"1,827",23.6,"1,853",23.9,3,,,3,,6,841,2,,843,8,590,5,,2,,,4,242,843,590,10,10,570,20,,,,,,,,,,,,,,,,,,,,,,,,,
E05001108,Newcastle Upon Tyne,Walker,"7,832","2,355",30.1,"2,353",30.0,"2,400",30.6,1,,,1,,2,2427,4,,2431,6,1580,5,,4,,,18,824,2431,1580,10,35,1535,45,,,,,,,,,,,,,,,,,,,,,,,,,
E05001109,Newcastle Upon Tyne,Walkergate,"7,133","2,676",37.5,"2,670",37.4,"2,716",38.1,4,1,1,,,6,2718,,,2718,4,1755,9,,,,,4,950,2718,1755,14,26,1715,40,,,,,,,,,,,,,,,,,,,,,,,,,
E05001112,Newcastle Upon Tyne,West Gosforth,"7,352","3,288",44.7,"3,281",44.6,"3,349",45.6,1,2,,4,,7,2519,4,,2523,12,1747,9,,4,,,13,750,2523,1747,37,24,1686,61,,,,,,,,,,,,,,,,,,,,,,,,,
E05001110,Newcastle Upon Tyne,Westerhope,"7,540","3,644",48.3,"3,635",48.2,"3,702",49.1,,2,,7,,9,3146,2,,3148,8,2378,9,1,1,,,6,753,3148,2378,27,31,2320,58,,,,,,,,,,,,,,,,,,,,,,,,,
E05001111,Newcastle Upon Tyne,Westgate,"6,842","1,641",24.0,"1,626",23.8,"1,657",24.2,7,4,,4,,15,1011,,,1011,2,681,1,,,,,10,319,1011,681,4,12,665,16,,,,,,,,,,,,,,,,,,,,,,,,,
E05001113,Newcastle Upon Tyne,Wingrove,"7,788","2,450",31.5,"2,437",31.3,"2,464",31.6,,1,,12,,13,1390,,,1390,6,936,11,,,,,6,437,1390,936,,14,922,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05001114,Newcastle Upon Tyne,Woolsington,"7,899","2,549",32.3,"2,544",32.2,"2,549",32.3,,,,5,,5,2533,,,2533,8,1726,5,,,,,4,798,2533,1726,30,21,1675,51,,,,,,,,,,,,,,,,,,,,,,,,,
E05001115,North Tyneside,Battle Hill,"8,376","2,673",31.9,"2,667",31.8,"2,696",32.2,1,1,0,4,0,6,1884,1,0,1885,10,1358,12,0,0,0,0,0,681,2051,1358,14,9,1335,6,N/A,0,92,0,133,12/05/2014,13/05/2014,787,83,Yes,4,20,248,245,174,70,184,200,idox,Selcheck,114,,,,
E05001116,North Tyneside,Benton,"7,932","3,099",39.1,"3,081",38.8,"3,143",39.6,10,4,0,4,0,18,2135,0,0,2135,10,1555,3,0,0,1,0,0,576,2135,1555,26,18,1511,18,,,,,,,,,,,,,,,,,,,,,,,,,
E05001117,North Tyneside,Camperdown,"7,987","2,364",29.6,"2,355",29.5,"2,416",30.2,0,2,0,7,0,9,1838,0,0,1838,5,1345,3,0,0,0,0,0,490,1838,1345,24,28,1293,9,,,,,,,,,,,,,,,,,,,,,,,,,
E05001118,North Tyneside,Chirton,"8,535","2,223",26.0,"2,216",26.0,"2,271",26.6,0,0,0,7,0,7,1387,0,0,1387,3,1002,2,0,0,0,0,0,383,1387,1002,22,26,954,7,,,,,,,,,,,,,,,,,,,,,,,,,
E05001119,North Tyneside,Collingwood,"8,596","2,957",34.4,"2,942",34.2,"3,013",35.1,0,5,1,9,0,15,2018,0,0,2018,6,1464,3,0,0,0,0,0,551,2018,1464,24,32,1408,15,,,,,,,,,,,,,,,,,,,,,,,,,
E05001120,North Tyneside,Cullercoats,"7,629","3,357",44.0,"3,335",43.7,"3,440",45.1,0,0,0,22,0,22,2018,2,0,2020,13,1538,2,0,0,0,0,0,480,2020,1538,56,27,1455,22,,,,,,,,,,,,,,,,,,,,,,,,,
E05001121,North Tyneside,Howdon,"8,295","2,322",28.0,"2,316",27.9,"2,370",28.6,3,1,0,2,0,6,1624,0,0,1624,8,1184,2,0,0,0,0,0,438,1624,1184,18,30,1136,6,,,,,,,,,,,,,,,,,,,,,,,,,
E05001122,North Tyneside,Killingworth,"8,249","2,649",32.1,"2,632",31.9,"2,712",32.9,0,2,0,15,0,17,2248,2,0,2250,10,1539,5,0,0,0,0,0,706,2250,1539,26,37,1476,17,,,,,,,,,,,,,,,,,,,,,,,,,
E05001123,North Tyneside,Longbenton,"8,323","2,541",30.5,"2,528",30.4,"2,605",31.3,0,5,0,8,0,13,1904,0,0,1904,11,1380,3,0,0,0,0,0,521,1904,1380,26,38,1316,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05001124,North Tyneside,Monkseaton North,"7,062","2,923",41.4,"2,906",41.1,"2,961",41.9,0,4,0,13,0,17,1514,1,0,1515,10,1064,6,0,0,0,0,0,445,1515,1064,10,28,1026,17,,,,,,,,,,,,,,,,,,,,,,,,,
