ONS ward No.,Local Authority,Ward,GENERAL,,,,,,,SPOILT PAPERS,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Electorate ,Total votes cast,Ballot box Turnout,Total valid votes cast ,Valid vote turnout ,Ballots returned including rejected PVs,Total participation turnout,Want of Official Mark,Voting for more candidates,Writing/mark by which voter could be identified,Unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count ,Number of postal ballot papers issued,"Total number of ballot papers issued under regulations 77, 78 & 78A",Total number of ballot papers cancelled under 86A,Total number of postal ballot papers issued A1 to A3,Total number of Ballot papers cancelled under Para 78A,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of postal ballot s returned spoilt for cancellation in time for re-issue,Number of postal ballots lost or not received in time for a re-issue,Number of ballot papers cancelled and retrieved in time for re-issue,Number of ballot papers returned as spoilt too late for re-issue,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes NOT received by the Returning Officer by 25th Day,TOTAL numbers B6 to B13,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',How many people tried to register after the close of registration etc?,How many people tried to vote on polling day and were unregistered?,Number of electors who appointed a proxy to vote on their behalf ,Emergency proxies issued ,How many waivers were granted for this election?,What was your issue date for postal votes sent overseas?,What was your delivery date for postal votes sent to UK electors?,Number of covering envelopes returned on polling day in time for the count,How many covering envelopes returned on the day after polling day by 10pm?,Did you carry out a sweep?,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both) ,PV statement rejected (Mismatched signature),PV statement rejected (Mismatched DoB),PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,Who is your electoral management software supplier?,Which software system do you use for postal vote verification?,What was the total number of polling stations used?,,,,,,
E05002466,Southampton,Redbridge,10824,3163,29.2,3105,28.7,3221,29.8,0,5,0,53,0,58,1511,3,0,1514,5,990,17,0,3,0,0,7,497,1514,979,15,12,932,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002467,Southampton,Shirley,10753,4342,40.4,4323,40.2,4367,40.6,0,2,0,17,0,19,1834,1,0,1835,9,1353,9,0,1,0,0,6,466,1835,1355,12,10,1328,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002468,Southampton,Sholing,10948,3772,34.5,3743,34.2,3811,34.8,0,6,0,23,0,29,1786,0,0,1786,10,1300,6,0,0,0,0,3,477,1786,1295,16,15,1261,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002469,Southampton,Swaythling,9831,2783,28.3,2747,27.9,2808,28.6,0,2,0,34,0,36,1085,0,0,1085,1,788,12,0,0,0,0,4,281,1085,780,9,7,763,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002470,Southampton,Woolston,10474,3328,31.8,3301,31.5,3391,32.4,0,17,0,10,0,27,1458,0,0,1458,7,1072,3,0,0,0,0,6,377,1458,1036,18,6,1009,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002212,Southend On Sea,Belfairs,7570,2831,37.4,2783,36.8,2904,38.4,0,0,0,48,0,48,1091,2,0,1093,2,827,2,0,2,0,0,0,262,1093,827,20,8,754,73,N/A,N/A,105,2,118,N/A,N/A,N/A,N/A,N/A,16,15,206,13,73,15,0,0,Xpress,Xpress,80,,,,,,
E05002213,Southend On Sea,Blenheim Park,8013,2700,33.7,2685,33.5,2740,34.2,0,1,0,11,3,15,958,0,0,958,4,698,3,0,0,0,0,2,255,958,698,12,5,658,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002214,Southend On Sea,Chalkwell,7425,2294,30.9,2274,30.6,2356,31.7,0,3,0,17,0,20,1021,2,0,1023,2,699,9,0,2,0,0,2,311,1023,699,12,8,637,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002215,Southend On Sea,Eastwood Park,7659,2740,35.8,2725,35.6,2783,36.3,0,2,0,0,13,15,1160,0,0,1160,0,869,4,0,0,0,0,3,284,1160,869,22,5,826,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002216,Southend On Sea,Kursaal,7932,1835,23.1,1828,23.0,1887,23.8,0,0,0,7,0,7,838,0,0,838,1,583,9,0,0,0,0,3,243,838,583,14,6,531,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002217,Southend On Sea,Leigh,7553,2472,32.7,2395,31.7,2518,33.3,0,50,15,12,0,77,996,0,0,996,0,654,6,0,0,0,0,3,333,996,654,14,4,608,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002218,Southend On Sea,Milton,7775,2352,30.3,2331,30.0,2411,31.0,,,,,,21,904,3,0,907,4,649,10,1,2,0,0,3,242,907,590,9,6,590,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002219,Southend On Sea,Prittlewell,7929,2837,35.8,2824,35.6,2870,36.2,0,4,0,9,0,13,1234,3,0,1237,4,877,4,0,3,0,0,8,345,1237,877,10,11,844,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002222,Southend On Sea,Shoeburyness,8685,2666,30.7,2633,30.3,2712,31.2,0,0,0,33,0,33,1061,1,0,1062,1,764,1,1,0,0,0,0,296,1062,764,12,6,718,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002223,Southend On Sea,Southchurch,7806,2727,34.9,2706,34.7,2786,35.7,0,2,0,19,0,21,1205,2,0,1207,2,909,7,1,1,0,0,2,287,1207,909,13,8,850,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002220,Southend On Sea,St. Laurence,7671,2399,31.3,2387,31.1,2443,31.8,0,0,0,12,0,12,953,2,0,955,2,680,2,0,2,0,0,1,270,955,680,13,6,636,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002221,Southend On Sea,St. Lukes,8244,2532,30.7,2501,30.3,2564,31.1,0,7,1,23,0,31,1067,0,0,1067,0,773,4,0,0,0,0,0,290,1067,773,11,7,741,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002224,Southend On Sea,Thorpe,7516,3412,45.4,3395,45.2,3448,45.9,2,1,0,14,0,17,1250,2,0,1252,2,930,7,0,2,0,0,3,310,1252,930,9,7,894,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002225,Southend On Sea,Victoria,7599,2039,26.8,2031,26.7,2105,27.7,0,1,0,7,0,8,802,1,0,803,3,586,2,0,1,0,0,6,208,803,586,12,3,520,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002227,Southend On Sea,West Leigh,7168,2907,40.6,2893,40.4,2960,41.3,0,0,0,14,0,14,1042,1,0,1043,4,760,2,0,1,1,0,0,279,1043,760,22,2,707,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002228,Southend On Sea,West Shoebury,7675,2675,34.9,2663,34.7,2720,35.4,,,,,,12,937,4,0,941,6,700,7,2,2,0,0,3,227,941,700,20,3,655,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002226,Southend On Sea,Westborough,7687,4264,55.5,4242,55.2,4319,56.2,0,0,0,22,0,22,800,2,0,802,2,540,6,0,2,0,0,4,250,802,540,12,6,485,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008953,Swindon,Blunsden & Highworth,8759,3521,40.2,3511,40.1,3563,40.7,0,0,4,6,0,10,1440,0,0,1440,5,1018,6,0,0,0,0,0,416,1440,1018,12,16,976,28,135,79,157,6,105,08/05/2014,08/05/2014,1497,98,No,49,22,104,135,111,53,78,15,Xpress,Xpress,94,,,,,,
E05008954,Swindon,Central,9281,3687,39.7,3652,39.3,3730,40.2,21,9,2,3,0,35,1629,3,0,1632,4,1066,26,1,2,0,0,4,533,1632,1066,18,18,1023,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008955,Swindon,Chiseldon & Lawn,4666,2066,44.3,2056,44.1,2076,44.5,8,2,0,0,0,10,824,1,0,825,6,584,2,0,1,0,0,2,236,825,584,3,6,574,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008956,Swindon,Covingham & Dorcan,8875,3716,41.9,3706,41.8,3726,42.0,0,3,0,7,0,10,1372,4,0,1376,10,901,13,0,4,0,0,1,457,1376,901,4,12,891,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008957,Swindon,Eastcott,7711,2986,38.7,2976,38.6,3021,39.2,5,4,1,0,0,10,1202,2,0,1204,2,791,14,0,2,0,0,1,396,1204,791,9,19,756,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008958,Swindon,Gorse Hill & Pinehurst,9017,2929,32.5,2924,32.4,2979,33.0,0,1,0,4,0,5,1488,1,0,1489,1,1001,16,0,1,0,0,2,469,1489,1001,8,30,951,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008959,Swindon,Haydon Wick,9235,3210,34.8,3191,34.6,3238,35.1,13,5,0,1,0,19,1718,0,0,1718,3,1111,7,0,0,0,0,4,596,1718,1111,10,7,1083,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008960,Swindon,Liden Eldene & Park South,8665,2820,32.5,2806,32.4,2857,33.0,4,7,0,3,0,14,1569,0,0,1569,2,732,17,0,0,0,0,1,819,1569,732,10,25,695,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008961,Swindon,Lydiard & Freshbrook,8603,3235,37.6,3223,37.5,3262,37.9,0,0,0,12,0,12,1567,1,0,1568,3,1068,1,0,1,0,0,2,496,1568,1068,8,13,1041,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008962,Swindon,Mannington & Western,7462,2308,30.9,2288,30.7,2322,31.1,0,4,0,16,0,20,1082,1,0,1083,2,644,5,0,1,0,0,5,428,1083,644,4,7,630,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008963,Swindon,Old Town,7836,2982,38.1,2957,37.7,3005,38.3,0,2,2,21,0,25,1511,1,0,1512,6,922,20,0,1,0,0,2,567,1512,922,6,13,899,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008964,Swindon,Penhill & Upper Stratton,9444,2940,31.1,2930,31.0,2979,31.5,6,3,0,1,0,10,1573,1,0,1574,6,1083,6,0,1,0,0,1,483,1574,1083,16,25,1044,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008965,Swindon,Priory Vale,8650,2435,28.2,2422,28.0,2468,28.5,0,3,0,10,0,13,2041,2,0,2043,3,1093,6,0,2,0,0,4,938,2043,1093,5,12,1060,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008967,Swindon,Rodbourne Cheney,9100,3026,33.3,3006,33.0,3070,33.7,0,0,0,20,0,20,1642,0,0,1642,3,1087,7,0,0,0,0,1,547,1642,1087,6,25,1043,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008970,Swindon,Shaw,8463,3086,36.5,3077,36.4,3112,36.8,8,1,0,0,0,9,1416,4,0,1420,10,922,13,0,4,0,0,1,480,1420,922,8,15,896,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008968,Swindon,St. Andrews,8027,2324,29.0,2310,28.8,2357,29.4,9,2,0,3,0,14,1960,1,0,1961,1,1169,17,0,1,0,0,3,771,1961,1169,10,8,1136,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008969,Swindon,St. Margaret & South Marston,9352,3460,37.0,3444,36.8,3468,37.1,15,1,0,0,0,16,1579,1,0,1580,5,1047,6,0,1,0,0,1,525,1580,1047,6,7,1039,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008971,Swindon,Walcot & Park North,9123,2921,32.0,2910,31.9,2977,32.6,0,0,0,11,0,11,1620,3,0,1623,6,1046,7,0,3,0,0,0,567,1623,1046,20,28,990,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05008972,Swindon,Wroughton & Wichelstowe,6376,2620,41.1,2605,40.9,2657,41.7,6,8,0,1,0,15,1144,1,,1145,1,817,7,,1,,,3,317,1145,817,12,25,780,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002229,Thurrock,Aveley & Uplands,6453,2325,36.0,2315,35.9,2362,36.6,0,2,1,7,0,10,780,2,0,782,3,567,4,0,2,0,0,1,208,782,567,7,26,530,37,106,0,77,2,27,09/05/2014,09/05/2014,578,11,Yes,15,26,138,341,117,40,23,18,Xpress,Xpress,62,,,,,,
E05002230,Thurrock,Belhus,6846,2272,33.2,2265,33.1,2320,33.9,0,2,0,5,0,7,885,0,0,885,5,669,2,0,0,0,0,2,212,885,669,5,43,621,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002231,Thurrock,Chadwell St. Mary,7195,2316,32.2,2308,32.1,2440,33.9,0,0,0,8,0,8,880,3,0,883,3,728,0,0,3,0,0,0,152,883,728,11,41,604,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002235,Thurrock,Grays Riverside,7482,2042,27.3,2031,27.1,2114,28.3,0,0,0,11,0,11,1179,2,0,1181,2,797,2,2,2,2,0,7,369,1181,797,22,46,725,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002236,Thurrock,Grays Thurrock,6420,2278,35.5,2267,35.3,2347,36.6,0,1,0,10,0,11,977,1,0,978,1,708,2,1,0,1,0,6,260,978,708,16,45,639,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002237,Thurrock,Little Thurrock Blackshots,4565,1904,41.7,1903,41.7,1943,42.6,0,0,0,1,0,1,752,0,0,752,0,582,2,0,0,0,0,1,167,752,582,7,23,543,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002238,Thurrock,Little Thurrock Rectory,4501,1765,39.2,1759,39.1,1803,40.1,0,2,0,4,0,6,644,0,0,644,3,485,8,0,0,0,0,1,150,644,485,5,29,447,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002239,Thurrock,Ockendon,6969,2628,37.7,2615,37.5,2685,38.5,0,2,2,9,0,13,1018,2,2,1022,4,713,5,0,2,2,0,1,299,1022,713,13,47,656,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002240,Thurrock,Orsett,4854,2085,43.0,2075,42.7,2117,43.6,0,0,0,10,0,10,672,4,0,676,6,461,4,2,2,4,0,0,203,676,461,8,24,429,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002241,Thurrock,South Chafford,4691,1284,27.4,1282,27.3,1320,28.1,0,0,0,2,0,2,849,0,0,849,1,511,9,0,0,0,0,0,329,849,511,6,28,475,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002242,Thurrock,Stanford East & Corringham Town,6423,2481,38.6,2467,38.4,2536,39.5,0,1,0,13,0,14,944,0,0,944,2,693,3,0,0,0,0,2,246,944,693,25,24,638,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002244,Thurrock,Stifford Clays,5059,2095,41.4,2084,41.2,2135,42.2,0,3,0,8,0,11,809,3,,812,6,581,3,,3,,,,225,812,581,12,26,541,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002245,Thurrock,The Homesteads,6589,2689,40.8,2683,40.7,2718,41.3,0,0,0,6,0,6,843,,,843,2,606,1,,,,,1,235,843,606,11,13,577,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002246,Thurrock,Tilbury Riverside & Thurrock Park,4138,1305,31.5,1299,31.4,1338,32.3,0,2,0,4,0,6,502,,,502,1,352,1,,,,,,149,502,352,9,23,319,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002247,Thurrock,Tilbury St. Chads,4167,1168,28.0,1159,27.8,1187,28.5,0,1,5,3,0,9,496,0,0,496,0,352,4,0,0,0,0,0,140,496,352,7,21,333,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002248,Thurrock,West Thurrock & South Stifford,7436,2237,30.1,2226,29.9,2306,31.0,0,4,3,4,0,11,1060,2,0,1062,0,702,10,0,1,2,0,8,339,1062,702,15,50,633,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001598,Warrington,Appleton,8458,3450,40.8,3428,40.5,3486,41.2,0,0,0,22,0,22,2031,2,0,2033,2,1452,7,0,2,0,0,6,566,2033,,12,9,1416,0,279,12,99,0,132,07/05/2014,07/05/2014,977,10,Yes,21,19,58,38,81,50,51,69,Xpress,Xpress,109,,,,,,
E05001599,Warrington,Bewsey & Whitecross,9888,2239,22.6,2178,22.0,2283,23.1,0,7,0,54,0,61,1204,1,0,1205,3,800,4,0,1,0,0,2,398,1205,,9,13,756,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001600,Warrington,Birchwood,8567,2708,31.6,2656,31.0,2736,31.9,0,0,0,52,0,52,1227,0,0,1227,2,848,8,0,0,0,0,6,365,1227,,5,4,820,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001602,Warrington,CULCHETH GLAZEBURY & CROFT,8759,3734,42.6,3715,42.4,3757,42.9,0,2,1,16,0,19,1568,2,0,1570,5,1117,2,0,2,0,0,5,444,1570,,3,11,1094,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001603,Warrington,Fairfield & Howley,10445,2414,23.1,2404,23.0,2445,23.4,0,0,10,0,0,10,1236,1,0,1237,1,804,7,0,1,0,0,2,423,1237,,11,16,773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001604,Warrington,GRAPPENHALL & THELWALL,7792,3248,41.7,3242,41.6,3280,42.1,0,1,0,5,0,6,1649,1,0,1650,4,1175,8,0,1,0,0,2,464,1650,,4,10,1143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001605,Warrington,Great Sankey North,5107,1755,34.4,1748,34.2,1772,34.7,0,0,0,7,0,7,938,0,0,938,0,652,2,0,0,0,0,1,283,938,,3,5,635,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001606,Warrington,Great Sankey South,8259,2490,30.1,2427,29.4,2539,30.7,0,6,0,57,0,63,1394,0,0,1394,3,980,4,0,0,0,0,4,406,1394,,9,14,931,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001608,Warrington,Latchford East,6607,1784,27.0,1774,26.9,1805,27.3,0,1,0,9,0,10,815,0,0,815,0,556,5,0,0,0,0,2,252,815,,4,14,535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001609,Warrington,Latchford West,5931,1926,32.5,1913,32.3,1938,32.7,0,4,0,9,0,13,983,0,0,983,0,689,3,0,0,0,0,5,286,983,,2,5,677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001610,Warrington,LYMM,9914,4030,40.6,4008,40.4,4067,41.0,0,3,0,19,0,22,2187,3,0,2190,5,1520,10,2,1,0,0,2,655,2190,,5,17,1483,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001611,Warrington,Orford,8149,2081,25.5,2074,25.5,2099,25.8,0,0,0,7,0,7,982,0,0,982,0,651,8,0,0,0,0,3,320,982,,0,13,633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001612,Warrington,PENKETH & CUERDLEY,6962,2639,37.9,2623,37.7,2663,38.3,0,1,0,15,0,16,1419,3,0,1422,5,1022,4,0,3,0,0,3,390,1422,,6,11,998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001613,Warrington,Poplars & Hulme,7974,2065,25.9,2048,25.7,2087,26.2,0,6,0,11,0,17,909,1,0,910,2,640,9,1,0,0,0,1,259,910,,6,2,618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001614,Warrington,Poulton North,8161,2506,30.7,2491,30.5,2533,31.0,0,2,0,13,0,15,1168,3,0,1171,3,640,7,1,2,0,0,1,520,1171,,5,6,613,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001615,Warrington,Poulton South,5321,1865,35.0,1855,34.9,1871,35.2,0,0,0,10,0,10,848,1,0,849,5,604,4,0,1,0,0,1,239,849,,0,7,598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001616,Warrington,RIXTON & WOOLSTON,7484,2336,31.2,2321,31.0,2347,31.4,0,0,0,15,0,15,1099,1,0,1100,1,702,3,0,1,0,0,0,394,1100,,4,1,691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001618,Warrington,Westbrook,5161,1609,31.2,1603,31.1,1620,31.4,0,2,0,4,0,6,886,1,0,887,1,566,3,0,1,0,0,7,310,887,,4,3,555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001619,Warrington,Whittle Hall,10272,3249,31.6,3231,31.5,3268,31.8,0,3,0,15,0,18,1789,0,0,1789,0,1135,8,0,0,0,0,4,642,1789,,6,8,1116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002372,Wokingham,Arborfield,1772,766,43.2,763,43.1,777,43.8,0,0,0,3,0,3,303,0,0,303,0,191,4,0,0,0,0,4,104,303,191,10,1,180,11,7,6,106,3,121,08/05/2014,08/05/2014,1682,87,No,175,54,164,36,50,11,26,30,Idox,Selcheck,67,,,,,,
E05002374,Wokingham,Bulmershe & Whitegates,6649,2839,42.7,2822,42.4,2892,43.5,5,10,0,2,0,17,1093,5,0,1098,0,774,11,0,5,0,0,6,302,1098,774,43,10,721,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002376,Wokingham,Coronation,4483,1998,44.6,1992,44.4,2014,44.9,0,1,0,5,0,6,635,1,0,636,0,440,2,1,0,0,0,0,193,636,440,13,3,424,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002377,Wokingham,Emmbrook,6602,2908,44.0,2893,43.8,2945,44.6,0,0,12,3,0,15,1243,1,0,1244,0,933,12,0,1,0,0,2,296,1244,933,31,6,896,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002378,Wokingham,Evendons,6981,2640,37.8,2626,37.6,2667,38.2,0,0,0,14,0,14,1370,3,0,1373,0,909,12,0,3,0,0,4,445,1373,909,19,8,882,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002379,Wokingham,Finchampstead North,4330,1849,42.7,1845,42.6,1862,43.0,0,2,0,2,0,4,880,3,0,883,0,605,3,0,3,0,0,1,271,883,605,9,4,592,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002380,Wokingham,Finchampstead South,4512,1827,40.5,1822,40.4,1850,41.0,0,0,0,5,0,5,749,0,0,749,0,493,1,0,0,0,0,1,254,749,493,19,4,470,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002381,Wokingham,Hawkedon,7015,2456,35.0,2444,34.8,2482,35.4,0,0,0,12,0,12,1004,1,0,1005,0,655,5,0,1,0,0,2,342,1005,655,19,7,629,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002382,Wokingham,Hillside,6453,2704,41.9,2690,41.7,2740,42.5,0,3,0,11,0,14,1049,0,0,1049,0,761,7,0,0,0,0,1,280,1049,761,30,6,725,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002384,Wokingham,Loddon,6900,2443,35.4,2435,35.3,2475,35.9,0,0,0,8,0,8,969,0,0,969,0,662,12,0,0,0,0,3,292,969,662,31,1,630,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002385,Wokingham,Maiden Erlegh,7522,2642,35.1,2630,35.0,2676,35.6,0,2,10,0,0,12,1056,0,0,1056,0,716,6,0,0,0,0,0,334,1056,716,25,9,682,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002386,Wokingham,Norreys,6976,2615,37.5,2599,37.3,2656,38.1,0,0,6,10,0,16,1380,2,0,1382,0,915,8,1,1,0,0,3,454,1382,915,33,8,874,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002387,Wokingham,Remenham Wargrave & Ruscombe,4414,1758,39.8,1745,39.5,1790,40.6,0,0,1,12,0,13,810,1,0,811,0,561,13,0,1,0,0,0,236,811,561,24,8,529,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002389,Wokingham,Shinfield South,5467,1830,33.5,1809,33.1,1866,34.1,0,3,1,17,0,21,939,1,0,940,0,543,9,1,0,0,0,3,384,940,543,28,8,507,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002391,Wokingham,South Lake,4028,1590,39.5,1579,39.2,1603,39.8,0,0,0,11,0,11,453,1,0,454,0,354,2,0,1,0,0,1,96,454,354,8,5,341,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002392,Wokingham,Swallowfield,2315,975,42.1,972,42.0,982,42.4,0,0,0,3,0,3,296,1,0,297,0,214,3,0,1,0,0,0,79,297,214,5,2,207,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002395,Wokingham,Winnersh                           ,7314,2786,38.1,2774,37.9,2817,38.5,0,0,0,12,0,12,1170,3,0,1173,0,735,11,0,3,0,0,5,419,1173,735,23,8,704,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05002396,Wokingham,Wokingham Without,6170,2504,40.6,2486,40.3,2529,41.0,0,1,0,17,0,18,1215,3,0,1218,0,875,10,0,3,0,0,3,327,1218,875,18,7,850,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
